# See https://gitlab.freedesktop.org/mesa/mesa/-/merge_requests/9049
dEQP-VK.pipeline.timestamp.calibrated.calibration_test,Fail

# CTS bug https://gerrit.khronos.org/c/vk-gl-cts/+/15973
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_check_draw_params_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_same_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_same_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_simple,Crash
