test_vbv_stride_edge_cases:1605: Test failed: Test 6, index 0, 0.000000 != 4.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 6, index 1, 0.000000 != 5.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 6, index 2, 0.000000 != 6.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 6, index 3, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 6, index 4, 0.000000 != 5.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 6, index 5, 0.000000 != 6.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 6, index 6, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 6, index 7, 0.000000 != 8.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 8, index 0, 0.000000 != 4.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 8, index 1, 0.000000 != 5.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 8, index 2, 0.000000 != 6.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 8, index 3, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 8, index 4, 0.000000 != 6.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 8, index 5, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 8, index 6, 0.000000 != 8.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 8, index 7, 0.000000 != 9.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 10, index 0, 0.000000 != 4.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 10, index 1, 0.000000 != 5.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 10, index 2, 0.000000 != 6.000000
test_vbv_stride_edge_cases:1605: Test failed: Test 10, index 3, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 10, index 4, 0.000000 != 7.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 10, index 5, 0.000000 != 8.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 10, index 6, 0.000000 != 9.000000
test_vbv_stride_edge_cases:1606: Test failed: Test 10, index 7, 0.000000 != 10.000000
