# Test bug, using GLSL 4.20 on a 3.3 context.
# Broken in VK-GL-CTS e5c45899ed7e90fb616ccd1d3c66e6eded120684
KHR-GL33.cull_distance.coverage,Fail

# Lots of errors like "[279] Check failed. Received: [3,0,0,2] instead of: [5,0,0,2]"
KHR-GLES31.core.geometry_shader.layered_framebuffer.depth_support,Fail

KHR-GLES31.core.geometry_shader.layered_framebuffer.stencil_support,Fail

# "Invalid value returned: expected:[1, 1, 1, 1] retrieved: [0, 0, 0, 0
#  Invalid rendering result at esextcTessellationShaderBarrier.cpp:504"
KHR-GLES31.core.tessellation_shader.tessellation_shader_tc_barriers.barrier_guarded_read_calls,Fail

# https://gitlab.freedesktop.org/mesa/mesa/-/issues/5582
KHR-GLES31.core.texture_cube_map_array.color_depth_attachments,Fail

# rendering errors in ~4x4 blocks around the bottom side of the diagonal for the quad
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.colorburn,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.colordodge,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.darken,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.difference,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.exclusion,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.hardlight,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.hsl_color,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.hsl_hue,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.hsl_luminosity,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.hsl_saturation,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.lighten,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.multiply,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.overlay,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.screen,Fail
bypass-dEQP-GLES31.functional.blend_equation_advanced.msaa.softlight,Fail

# Fails when TU_DEBUG=forcebin is set
gmem-dEQP-VK.spirv_assembly.instruction.graphics.variable_pointers.graphics.writes_two_buffers_geom,Fail
gmem-dEQP-VK.spirv_assembly.instruction.graphics.variable_pointers.graphics.writes_two_buffers_vert,Fail

glx@glx_arb_create_context_es2_profile@invalid opengl es version,Fail
glx@glx_arb_create_context_no_error@no error,Fail
glx@glx_arb_create_context_robustness@invalid reset notification strategy,Fail
glx@glx_ext_import_context@free context,Fail
glx@glx_ext_import_context@get context id,Fail
glx@glx_ext_import_context@get current display,Fail
glx@glx_ext_import_context@import context- multi process,Fail
glx@glx_ext_import_context@import context- single process,Fail
glx@glx_ext_import_context@imported context has same context id,Fail
glx@glx_ext_import_context@make current- multi process,Fail
glx@glx_ext_import_context@make current- single process,Fail
glx@glx_ext_import_context@query context info,Fail
glx@glx-swap-pixmap-bad,Fail
glx@glx-visuals-depth -pixmap,Crash
glx@glx-visuals-stencil -pixmap,Crash

# "../src/freedreno/ir3/ir3_shader.h:968:ir3_link_add: Assertion `i < ARRAY_SIZE(l->var)' failed."
shaders@glsl-max-varyings >max_varying_components,Crash

# "MESA: error: unknown vertex shader output name: VARYING_SLOT_EDGE
#  gl-2.0-edgeflag: ../src/freedreno/ir3/ir3_context.c:411: ir3_context_error: Assertion `!""' failed."
shaders@point-vertex-id divisor,Crash
shaders@point-vertex-id gl_instanceid,Crash
shaders@point-vertex-id gl_instanceid divisor,Crash
shaders@point-vertex-id gl_vertexid,Crash
shaders@point-vertex-id gl_vertexid divisor,Crash
shaders@point-vertex-id gl_vertexid gl_instanceid,Crash
shaders@point-vertex-id gl_vertexid gl_instanceid divisor,Crash

spec@arb_compute_shader@execution@border-color,Fail
spec@arb_depth_buffer_float@fbo-clear-formats stencil,Fail
spec@arb_depth_buffer_float@fbo-clear-formats stencil@GL_DEPTH32F_STENCIL8,Fail
spec@arb_depth_buffer_float@fbo-generatemipmap-formats,Fail
spec@arb_depth_buffer_float@fbo-generatemipmap-formats@GL_DEPTH_COMPONENT32F,Fail
spec@arb_depth_buffer_float@fbo-generatemipmap-formats@GL_DEPTH_COMPONENT32F NPOT,Fail

# "0 primitives generated:
#  Incorrect number of prims generated.
#  Found 0, expected 4"
spec@arb_direct_state_access@transformfeedback-bufferbase,Fail
spec@arb_direct_state_access@transformfeedback-bufferbase@general test,Fail
spec@arb_direct_state_access@transformfeedback-bufferrange,Fail
spec@arb_direct_state_access@transformfeedback-bufferrange@general test,Fail

spec@arb_occlusion_query@occlusion_query_order,Fail
spec@arb_point_sprite@arb_point_sprite-interactions 1.0,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceindex,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceindex@'vs_input2[1][0]' on GL_PROGRAM_INPUT,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceindex@'vs_input2' on GL_PROGRAM_INPUT,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceiv,Fail
spec@arb_program_interface_query@arb_program_interface_query-resource-query,Fail
spec@arb_program_interface_query@arb_program_interface_query-resource-query@GL_ATOMIC_COUNTER_BUFFER,Fail
spec@arb_program_interface_query@arb_program_interface_query-resource-query@GL_BUFFER_VARIABLE,Fail
spec@arb_program_interface_query@arb_program_interface_query-resource-query@GL_SHADER_STORAGE_BLOCK,Fail
spec@arb_sample_shading@samplemask 2@0.500000 mask_in_one,Fail
spec@arb_sample_shading@samplemask 2@1.000000 mask_in_one,Fail
spec@arb_sample_shading@samplemask 2 all@0.500000 mask_in_one,Fail
spec@arb_sample_shading@samplemask 2 all@1.000000 mask_in_one,Fail
