# Failures likely due to lavapipe (i.e. the intersection of observed failures and lvp-fails.txt)
dEQP-VK.glsl.crash_test.divbyzero_comp,Crash

# Full Venus list
dEQP-VK.multiview.queries.15_15_15_15,Fail
dEQP-VK.multiview.queries.15,Fail
dEQP-VK.multiview.queries.5_10_5_10,Fail
dEQP-VK.multiview.renderpass2.queries.15_15_15_15,Fail
dEQP-VK.multiview.renderpass2.queries.15,Fail
dEQP-VK.multiview.renderpass2.queries.5_10_5_10,Fail
dEQP-VK.pipeline.extended_dynamic_state.after_pipelines.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.before_draw.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.between_pipelines.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.cmd_buffer_start.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.two_draws_dynamic.enable_raster,Fail
